taxon_id,created_at,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
13711,32,32,32,32,32,32,32,32,0,32,0,0,32,0,0,32,0,0,0,0,32,0,32,0,0,0,0
13712,3,3,3,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0
13729,19,19,19,19,19,19,19,19,0,19,0,0,19,0,0,19,0,0,0,0,19,0,19,0,0,0,0
13734,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
13847,8,7,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,0,0,0,0,0
13851,319,318,319,319,319,319,319,319,0,319,0,0,319,0,0,319,0,0,0,0,319,0,319,0,0,0,0
13858,383,383,383,383,383,383,383,383,0,383,0,0,383,0,0,383,0,0,0,0,383,0,383,0,0,0,0
13988,8,8,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,8,0,0,0,0
14824,219,219,219,219,219,219,219,219,0,219,0,0,219,0,0,219,0,0,0,0,219,0,219,0,0,0,0
14841,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14850,605,605,605,605,605,605,605,605,0,605,0,0,605,0,0,605,0,0,0,0,605,0,605,0,0,0,0
15050,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
15281,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
15282,58,57,58,58,58,58,58,58,0,58,0,0,58,0,0,58,0,0,0,0,58,0,58,0,0,0,0
15302,21,21,21,21,21,21,21,21,0,21,0,0,21,0,0,21,0,0,0,0,21,0,21,0,0,0,0
17599,23,17,23,23,23,23,23,23,0,23,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0
17669,7,7,7,7,7,7,7,7,0,7,0,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0
17834,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17835,92,92,92,92,92,92,92,92,0,92,0,0,92,0,0,92,0,0,0,0,92,0,92,0,0,0,0
17866,9,8,9,0,9,9,9,9,0,9,0,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0
17871,416,414,416,416,416,416,416,416,0,416,0,0,416,0,0,416,0,0,0,0,416,0,416,0,0,0,0
17943,8,8,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,8,0,0,0,0
18299,3,3,3,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0
18301,17,17,17,17,17,17,17,17,0,17,0,0,17,0,0,17,0,0,0,0,17,0,17,0,0,0,0
18448,19,19,19,19,19,19,19,19,0,19,0,0,19,0,0,19,0,0,0,0,19,0,19,0,0,0,0
19350,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19410,7,7,7,7,7,7,7,7,0,7,0,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0
19660,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19728,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19848,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
19890,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
19898,39,38,39,39,39,39,39,39,0,39,0,0,39,0,0,39,0,0,0,0,39,0,39,0,0,0,0
19910,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0
20059,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
20307,25,25,25,25,25,25,25,25,0,25,0,0,25,0,0,25,0,0,0,0,25,0,25,0,0,0,0
20359,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0
20372,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0
20969,46,46,46,46,46,46,46,46,0,46,0,0,46,0,0,46,0,0,0,0,46,0,46,0,0,0,0
20978,13,11,13,13,13,13,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20979,34,23,34,34,34,34,34,34,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21359,10,7,10,10,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
